dataset,noise_type,noise_rate,method,accuracy,macro_f1,macro_precision,macro_recall,total_time_sec,method_time_sec,train_time_sec,epochs_ran,n_train_input,n_train_selected
miniboone,shift,0.12,cleancore,0.9089301503094607,0.8873757739500628,0.8868465307893594,0.8879100090845936,29.58344240114093,29.48422136157751,21.531591277569532,250.0,104051.0,5201.0
miniboone,shift,0.12,gradmatch,0.8925152808211279,0.8629692527022541,0.8750699380055829,0.8529822026881906,8.669563934206963,8.543020993471146,7.872061897069216,181.0,104051.0,512.0
miniboone,shift,0.12,deem,0.8813285664859878,0.8502402223890465,0.8574860828466736,0.8438700990960061,14.591704476624727,14.504826065152884,12.877332281321287,58.0,104051.0,5203.0
miniboone,shift,0.18,cleancore,0.9042017452812056,0.8818175371639863,0.8803865399140894,0.883286763505555,28.921413503587246,28.79367135092616,21.13647273555398,250.0,104051.0,5195.0
miniboone,shift,0.18,gradmatch,0.8864413946872718,0.8592769506542399,0.8595181463205841,0.8590368830107851,8.334371518343687,8.201969966292381,7.589941710233688,142.0,104051.0,512.0
miniboone,shift,0.18,deem,0.869334563487487,0.8278473048426022,0.8548579718587166,0.8098427874841971,15.725672151893377,15.644804704934359,13.824148245155811,58.0,104051.0,5203.0
miniboone,shift,0.24,cleancore,0.8982816284165609,0.872700668896321,0.8768313855143388,0.8688538588293685,30.452751610428095,30.364694625139236,21.115945160388947,250.0,104051.0,5192.0
miniboone,shift,0.24,gradmatch,0.8842501826010072,0.8549462681307921,0.8594127016891316,0.8508300763735415,8.226338010281324,8.147411808371544,7.725563529878855,142.0,104051.0,512.0
miniboone,shift,0.24,deem,0.8889401453119594,0.8573723975568578,0.8727861041803103,0.8452338056687572,16.00211386755109,15.929249335080385,13.983893301337957,58.0,104051.0,5203.0
miniboone,shift,0.30,cleancore,0.8986660515895898,0.8747604622841574,0.8740188254618542,0.8755124376944019,28.28932187333703,28.148403123021126,21.202479731291533,250.0,104051.0,5203.0
miniboone,shift,0.30,gradmatch,0.8654134471225926,0.8231725393795368,0.848335041117159,0.8061566129765476,7.731824219226837,7.65143458917737,7.272468134760857,98.0,104051.0,512.0
miniboone,shift,0.30,deem,0.8887863760427479,0.8542832153910842,0.8801232091934764,0.8362708914541133,15.629588898271322,15.552420374006033,13.595945708453655,58.0,104051.0,5203.0
pendigits,random,0.06,cleancore,0.9631217838765008,0.9633183027123614,0.9643106035917264,0.9634114652873134,2.5580264776945114,2.529377304017544,1.7981815673410892,153.0,7494.0,749.0
pendigits,random,0.06,gradmatch,0.9465408805031447,0.9468921031063033,0.9482919950069186,0.9473096408340641,0.9020987935364246,0.8836739137768745,0.6075096391141415,122.0,7494.0,256.0
pendigits,random,0.06,deem,0.9299599771297884,0.9307737600583392,0.9356116500731237,0.9295135534976104,2.590810287743807,2.5725703574717045,0.805214136838913,54.0,7494.0,749.0
pendigits,random,0.12,cleancore,0.9594053744997141,0.9596726847515485,0.9599053645655499,0.959842043980443,3.3030489794909954,3.2740491926670074,2.3999424390494823,194.0,7494.0,749.0
pendigits,random,0.12,gradmatch,0.9373927958833619,0.9380656843217151,0.9389460692073094,0.9387589191676708,1.174672942608595,1.15661496296525,0.8626026958227158,186.0,7494.0,256.0
